ID,Name0,Name1,Name2,Name3,Name4,Artist0,Artist1,Artist2,Artist3,Artist4,BPM0,BPM1,BPM2,BPM3,BPM4,ParentSongIndex,GameVersion,Channel,ActiveMode,SomeBoolean,Length,Padding1,Padding2,
1026,Turkey March -Minimal Tunes-,터키 행진곡 -미니멀튠즈-,Turkey March -Minimal Tunes-,Turkey March -Minimal Tunes-,Turkey March -Minimal Tunes-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,130,130,130,130,130,4294967295,18,1,2,1,118,4294967295,4294967295,
1027,Get Up (and go),겟 업 (앤 고),Get Up (and go),Get Up (and go),Get Up (and go),Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,164,164,164,164,164,4294967295,18,1,2,1,105,4294967295,4294967295,
1028,Phantom -Intermezzo-,팬텀 -인터메조-,Phantom -Intermezzo-,Phantom -Intermezzo-,Phantom -Intermezzo-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,140,140,140,140,140,4294967295,18,1,2,1,105,4294967295,4294967295,
1029,Mission Possible -Blow Back-,미션 파서블 -블로우 백-,Mission Possible -Blow Back-,Mission Possible -Blow Back-,Mission Possible -Blow Back-,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,128,128,128,128,128,4294967295,18,1,2,1,104,4294967295,4294967295,
1030,Pumping Jumping,펌핑 점핑,Pumping Jumping,Pumping Jumping,Pumping Jumping,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,116,116,116,116,116,4294967295,18,1,2,1,92,4294967295,4294967295,
1031,B.P Classic Remix,반야 프로덕션 클래식 리믹스,B.P Classic Remix,B.P Classic Remix,B.P Classic Remix,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,164,164,164,164,164,4294967295,18,1,3,1,160,4294967295,4294967295,
1032, K-POP Mix (Old & New),케이팝 믹스 (올드 앤 뉴), K-POP Mix (Old & New), K-POP Mix (Old & New), K-POP Mix (Old & New),Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,138,138,138,138,138,4294967295,18,1,3,1,149,4294967295,4294967295,
1033,PaPa helloizing,파파 헬로이징,PaPa helloizing,PaPa helloizing,PaPa helloizing,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,158,158,158,158,158,4294967295,18,1,3,1,161,4294967295,4294967295,
1034,B.P Classic Remix 2,반야 프로덕션 클래식 리믹스 2,B.P Classic Remix 2,B.P Classic Remix 2,B.P Classic Remix 2,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,180,180,180,180,180,4294967295,18,1,3,1,164,4294967295,4294967295,
1035,Hard Core Rock Mix,하드 코어 락 믹스,Hard Core Rock Mix,Hard Core Rock Mix,Hard Core Rock Mix,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,196,196,196,196,196,4294967295,18,1,3,1,168,4294967295,4294967295,
1036,Pro POP Mix,프로 팝 믹스,Pro POP Mix,Pro POP Mix,Pro POP Mix,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,151,151,151,151,151,4294967295,18,1,3,1,161,4294967295,4294967295,
1037,Set Up Me2 Mix  ,셋업 미투 믹스,Set Up Me2 Mix  ,Set Up Me2 Mix  ,Set Up Me2 Mix  ,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,122,122,122,122,122,4294967295,18,1,3,1,153,4294967295,4294967295,
1038,msgoon RMX pt.5,엠.에스.군 리믹스 파트.5,msgoon RMX pt.5,msgoon RMX pt.5,msgoon RMX pt.5,msgoon,엠.에스.군,msgoon,msgoon,msgoon,102.8,102.8,102.8,102.8,102.8,4294967295,18,1,3,1,154,4294967295,4294967295,
1039,msgoon RMX pt.6,엠.에스.군 리믹스 파트.6,msgoon RMX pt.6,msgoon RMX pt.6,msgoon RMX pt.6,msgoon,엠.에스.군,msgoon,msgoon,msgoon,150,150,150,150,150,4294967295,18,1,3,1,170,4294967295,4294967295,
1040,msgoon RMX pt.7,엠.에스.군 리믹스 파트.7,msgoon RMX pt.7,msgoon RMX pt.7,msgoon RMX pt.7,msgoon,엠.에스.군,msgoon,msgoon,msgoon,130,130,130,130,130,4294967295,18,1,3,1,168,4294967295,4294967295,
1041,History : We Are The ZEST,히스토리 : 우리는 열정이다,History : We Are The ZEST,History : We Are The ZEST,History : We Are The ZEST,msgoon,엠.에스.군,msgoon,msgoon,msgoon,112.5,112.5,112.5,112.5,112.5,4294967295,18,1,3,1,292,4294967295,4294967295,
1042,Deja Vu,예지몽,Deja Vu,Deja Vu,Deja Vu,SOM2,솜2,SOM2,SOM2,SOM2,115,115,115,115,115,4294967295,18,2,4,1,208,4294967295,4294967295,
1043,NARCISISTA POR EXCELENCIA,자아도취,NARCISISTA POR EXCELENCIA,NARCISISTA POR EXCELENCIA,NARCISISTA POR EXCELENCIA,PXNDX,판다,PXNDX,PXNDX,PXNDX,164,164,164,164,164,4294967295,18,3,4,1,219,4294967295,4294967295,
1044,Dawn of The Apocalypse,돈 오브 더 아포칼립스,Dawn of The Apocalypse,Dawn of The Apocalypse,Dawn of The Apocalypse,Vassline,바세린,Vassline,Vassline,Vassline,210,210,210,210,210,4294967295,18,2,4,1,205,4294967295,4294967295,
1045,Fire,화이어,Fire,Fire,Fire,2NE1,2NE1,2NE1,2NE1,2NE1,126,126,126,126,126,4294967295,18,2,4,1,225,4294967295,4294967295,
1046,Wanna,워너,Wanna,Wanna,Wanna,Kara,카라,Kara,Kara,Kara,161,161,161,161,161,4294967295,18,2,4,1,186,4294967295,4294967295,
1047,PUMP IT UP with YOU,펌프 잇 업 위드 유,PUMP IT UP with YOU,PUMP IT UP with YOU,PUMP IT UP with YOU,msgoon,엠.에스.군,msgoon,msgoon,msgoon,137,137,137,137,137,4294967295,18,1,3,1,173,4294967295,4294967295,
1048,Final Audition 2,파이널 오디션 2,Final Audition 2,Final Audition 2,Final Audition 2,Banya,반야,Banya,Banya,Banya,130,130,130,130,130,4294967295,18,1,1,1,59,4294967295,4294967295,
1049,Final Audition 3,파이널 오디션 3,Final Audition 3,Final Audition 3,Final Audition 3,Banya,반야,Banya,Banya,Banya,130.5,130.5,130.5,130.5,130.5,4294967295,18,1,1,1,58,4294967295,4294967295,
1050,Final Audition EP. 2-X,파이널 오디션 에피소드 2-X,Final Audition EP. 2-X,Final Audition EP. 2-X,Final Audition EP. 2-X,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,170,170,170,170,170,4294967295,18,1,1,1,59,4294967295,4294967295,
1051,Love is a Danger Zone,러브 이즈 어 데인져 존,Love is a Danger Zone,Love is a Danger Zone,Love is a Danger Zone,Banya,반야,Banya,Banya,Banya,140,140,140,140,140,4294967295,18,1,1,1,56,4294967295,4294967295,
1052,Love is a Danger Zone pt. 2,러브 이즈 어 데인져 존 pt.2,Love is a Danger Zone pt. 2,Love is a Danger Zone pt. 2,Love is a Danger Zone pt. 2,Banya,반야,Banya,Banya,Banya,162,162,162,162,162,4294967295,18,1,1,1,57,4294967295,4294967295,
1053,Extravaganza,엑스트라바간자,Extravaganza,Extravaganza,Extravaganza,Banya,반야,Banya,Banya,Banya,195,195,195,195,195,4294967295,18,1,1,1,59,4294967295,4294967295,
1054,CHICKEN WING,치킨 윙,CHICKEN WING,CHICKEN WING,CHICKEN WING,Banya,반야,Banya,Banya,Banya,200,200,200,200,200,4294967295,18,1,1,1,59,4294967295,4294967295,
1055,Winter,윈터,Winter,Winter,Winter,Banya,반야,Banya,Banya,Banya,168,168,168,168,168,4294967295,18,1,1,1,56,4294967295,4294967295,
1056,Solitary 2,무혼 2,Solitary 2,Solitary 2,Solitary 2,Banya,반야,Banya,Banya,Banya,136,136,136,136,136,4294967295,18,1,1,1,58,4294967295,4294967295,
1057,Moonlight,월광,Moonlight,Moonlight,Moonlight,Banya,반야,Banya,Banya,Banya,180,180,180,180,180,4294967295,18,1,1,1,38,4294967295,4294967295,
1058,Witch Doctor,위치 닥터,Witch Doctor,Witch Doctor,Witch Doctor,Banya,반야,Banya,Banya,Banya,195,195,195,195,195,4294967295,18,1,1,1,59,4294967295,4294967295,
1059,Exceed2 Opening,익시드2 오프닝,Exceed2 Opening,Exceed2 Opening,Exceed2 Opening,Banya,반야,Banya,Banya,Banya,178,178,178,178,178,4294967295,18,1,1,1,44,4294967295,4294967295,
1060,NX Opening,NX 오프닝,NX Opening,NX Opening,NX Opening,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,133,133,133,133,133,4294967295,18,1,1,1,58,4294967295,4294967295,
1061,K.O.A : Alice In Wonderworld,케이.오.에이 : 엘리스 인 원더월드,K.O.A : Alice In Wonderworld,K.O.A : Alice In Wonderworld,K.O.A : Alice In Wonderworld,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,156,156,156,156,156,4294967295,18,1,1,1,55,4294967295,4294967295,
1062,Bemera,비메라,Bemera,Bemera,Bemera,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,210,210,210,210,210,4294967295,18,1,1,1,57,4294967295,4294967295,
1063,Pumptris 8Bit ver.,펌트리스 8비트,Pumptris 8Bit ver.,Pumptris 8Bit ver.,Pumptris 8Bit ver.,YAHPP,이 얍,YAHPP,YAHPP,YAHPP,162,162,162,162,162,4294967295,18,1,1,1,57,4294967295,4294967295,
1064,Destination,데스티네이션,Destination,Destination,Destination,SHK,SHK,SHK,SHK,SHK,150,150,150,150,150,4294967295,18,1,1,1,53,4294967295,4294967295,
1065,Procedimientos Para Llegar A Un Común Acuerdo,잘 가 내 사랑,Procedimientos Para Llegar A Un Común Acuerdo,Procedimientos Para Llegar A Un Común Acuerdo,Procedimientos Para Llegar A Un Común Acuerdo,PXNDX,판다,PXNDX,PXNDX,PXNDX,160,160,160,160,160,4294967295,18,3,1,1,53,4294967295,4294967295,
1067,Danger zone twins,데인져 존 트윈스,Danger zone twins,Danger zone twins,Danger zone twins,BPM,BPM,BPM,BPM,BPM,162,162,162,162,162,4294967295,18,1,2,1,101,4294967295,4294967295,
1068,Horse mix,홀스 믹스,Horse mix,Horse mix,Horse mix,BPM,BPM,BPM,BPM,BPM,170,170,170,170,170,4294967295,18,1,2,1,110,4294967295,4294967295,
1069,Witch core,위치코어,Witch core,Witch core,Witch core,BPM,BPM,BPM,BPM,BPM,196,196,196,196,196,4294967295,18,1,2,1,107,4294967295,4294967295,
1070,B.P.M. Collection 4(Pumpts),비.피.엠. 콜렉션 3(펌츠),B.P.M. Collection 4(Pumpts),B.P.M. Collection 4(Pumpts),B.P.M. Collection 4(Pumpts),BPM,BPM,BPM,BPM,BPM,153,153,153,153,153,4294967295,18,1,2,1,111,4294967295,4294967295,
1071,Monkey-rang,몽키랑,Monkey-rang,Monkey-rang,Monkey-rang,BPM,BPM,BPM,BPM,BPM,186,186,186,186,186,4294967295,18,1,2,1,111,4294967295,4294967295,
1072,Whimera,위메라,Whimera,Whimera,Whimera,BPM,BPM,BPM,BPM,BPM,210,210,210,210,210,4294967295,18,1,2,1,113,4294967295,4294967295,
1073,Trato X4,트라토 X4,Trato X4,Trato X4,Trato X4,BPM,BPM,BPM,BPM,BPM,210,210,210,210,210,4294967295,18,1,2,1,113,4294967295,4294967295,
1074,Solitary Eliese,솔리터리 엘리제,Solitary Eliese,Solitary Eliese,Solitary Eliese,BPM,BPM,BPM,BPM,BPM,158,158,158,158,158,4294967295,18,1,2,1,95,4294967295,4294967295,
1075,Turkey mix,터키 믹스,Turkey mix,Turkey mix,Turkey mix,BPM,BPM,BPM,BPM,BPM,150,150,150,150,150,4294967295,18,1,2,1,112,4294967295,4294967295,
1076,Beatreme of the wisp,비트림 오브 더 위스프,Beatreme of the wisp,Beatreme of the wisp,Beatreme of the wisp,BPM,BPM,BPM,BPM,BPM,210,210,210,210,210,4294967295,18,1,2,1,106,4294967295,4294967295,
1077,Pumping Jam,펌핑 잼,Pumping Jam,Pumping Jam,Pumping Jam,BPM,BPM,BPM,BPM,BPM,120,120,120,120,120,4294967295,18,1,2,1,83,4294967295,4294967295,
1078,4-X,4-X,4-X,4-X,4-X,BPM,BPM,BPM,BPM,BPM,170,170,170,170,170,4294967295,18,1,2,1,100,4294967295,4294967295,
1079,Chicken doctor,치킨 닥터,Chicken doctor,Chicken doctor,Chicken doctor,BPM,BPM,BPM,BPM,BPM,200,200,200,200,200,4294967295,18,1,2,1,100,4294967295,4294967295,
1080,Cannon X tree,캐논X트리,Cannon X tree,Cannon X tree,Cannon X tree,BPM,BPM,BPM,BPM,BPM,190,190,190,190,190,4294967295,18,1,2,1,89,4294967295,4294967295,
1081,DJ. Moon,디제이 문,DJ. Moon,DJ. Moon,DJ. Moon,BPM,BPM,BPM,BPM,BPM,180,180,180,180,180,4294967295,18,1,2,1,89,4294967295,4294967295,
1082,KM pop Mix,KM팝 믹스,KM pop Mix,KM pop Mix,KM pop Mix,BPM,BPM,BPM,BPM,BPM,164,164,164,164,164,4294967295,18,1,2,1,86,4294967295,4294967295,
1083,Final Danger Sticks,파이널 데인져 스틱스,Final Danger Sticks,Final Danger Sticks,Final Danger Sticks,BPM,BPM,BPM,BPM,BPM,140,140,140,140,140,4294967295,18,1,2,1,114,4294967295,4294967295,
1084,To.Jam.Fa.,토.잼.파.,To.Jam.Fa.,To.Jam.Fa.,To.Jam.Fa.,BPM,BPM,BPM,BPM,BPM,130.5,130.5,130.5,130.5,130.5,4294967295,18,1,2,1,89,4294967295,4294967295,
1085,B.P.M. Collection 2(Solitaries),비.피.엠. 콜렉션 2(무혼즈),B.P.M. Collection 2(Solitaries),B.P.M. Collection 2(Solitaries),B.P.M. Collection 2(Solitaries),BPM,BPM,BPM,BPM,BPM,136,136,136,136,136,4294967295,18,1,2,1,98,4294967295,4294967295,
1086,Amadeustreme,아마데우스트림,Amadeustreme,Amadeustreme,Amadeustreme,BPM,BPM,BPM,BPM,BPM,170,170,170,170,170,4294967295,18,1,2,1,99,4294967295,4294967295,
1087,B.P.M. Collection 1(Auditions),비.피.엠. 콜렉션 1(오디션즈),B.P.M. Collection 1(Auditions),B.P.M. Collection 1(Auditions),B.P.M. Collection 1(Auditions),BPM,BPM,BPM,BPM,BPM,130.5,130.5,130.5,130.5,130.5,4294967295,18,1,2,1,111,4294967295,4294967295,
1088,Pumpster Zone2-1,펌스터 존 2-1,Pumpster Zone2-1,Pumpster Zone2-1,Pumpster Zone2-1,BPM,BPM,BPM,BPM,BPM,170,170,170,170,170,4294967295,18,1,2,1,117,4294967295,4294967295,
1089,Hamera,하메라,Hamera,Hamera,Hamera,BPM,BPM,BPM,BPM,BPM,210,210,210,210,210,4294967295,18,1,2,1,100,4294967295,4294967295,
109,Funky Tonight,펑키 투나잇,Funky Tonight,Funky Tonight,Funky Tonight,CLON,클론,CLON,CLON,CLON,105,105,105,105,105,4294967295,1,2,2,1,109,4294967295,4294967295,
1090,Bee-mera,비-메라,Bee-mera,Bee-mera,Bee-mera,BPM,BPM,BPM,BPM,BPM,210,210,210,210,210,4294967295,18,1,2,1,81,4294967295,4294967295,
1091,World pop Mix,월드 팝 믹스,World pop Mix,World pop Mix,World pop Mix,BPM,BPM,BPM,BPM,BPM,151.5,151.5,151.5,151.5,151.5,4294967295,18,1,2,1,111,4294967295,4294967295,
1092,Ladimera,라디메라,Ladimera,Ladimera,Ladimera,BPM,BPM,BPM,BPM,BPM,210,210,210,210,210,4294967295,18,1,2,1,107,4294967295,4294967295,
1093,B.P.M. Collection 4(etc.Mix),비.피.엠. 콜렉션 4(믹스),B.P.M. Collection 4(etc.Mix),B.P.M. Collection 4(etc.Mix),B.P.M. Collection 4(etc.Mix),BPM,BPM,BPM,BPM,BPM,136,136,136,136,136,4294967295,18,1,2,1,101,4294967295,4294967295,
1094,Tepris,테프리스,Tepris,Tepris,Tepris,Doin,도인,Doin,Doin,Doin,145,145,145,145,145,4294967295,18,1,2,1,116,4294967295,4294967295,
1095,Napalm,네이팜,Napalm,Napalm,Napalm,Doin,도인,Doin,Doin,Doin,185,185,185,185,185,4294967295,18,1,2,1,117,4294967295,4294967295,
1096,Dieciseis,열여섯 살,Dieciseis,Dieciseis,Dieciseis,Nina Pilots,니나 파일럿츠,Nina Pilots,Nina Pilots,Nina Pilots,143,143,143,143,143,4294967295,18,3,2,1,118,4294967295,4294967295,
1101,Cleaner,클리너,Cleaner,Cleaner,Cleaner,Doin,도인,Doin,Doin,Doin,203,203,203,203,203,4294967295,19,1,2,1,111,4294967295,4294967295,
1102,Interference,인터퍼런스,Interference,Interference,Interference,Doin,도인,Doin,Doin,Doin,180.4,180.4,180.4,180.4,180.4,4294967295,19,1,2,1,111,4294967295,4294967295,
1103,Reality,리얼리티,Reality,Reality,Reality,SHK,SHK,SHK,SHK,SHK,135,135,135,135,135,4294967295,19,1,2,1,96,4294967295,4294967295,
1104,Take Out,테이크 아웃,Take Out,Take Out,Take Out,SHK,SHK,SHK,SHK,SHK,170,170,170,170,170,4294967295,19,1,2,1,118,4294967295,4294967295,
1105,Butterfly,버터플라이,Butterfly,Butterfly,Butterfly,MAX & Rorychesell (SID-SOUND),맥스 & Rorychesell (시드사운드),MAX & Rorychesell (SID-SOUND),MAX & Rorychesell (SID-SOUND),MAX & Rorychesell(SID-SOUND),128,128,128,128,128,4294967295,19,1,2,1,102,4294967295,4294967295,
1106,Overblow,오버블로우,Overblow,Overblow,Overblow,MAX,맥스,MAX,MAX,MAX,155,155,155,155,155,4294967295,19,1,2,1,105,4294967295,4294967295,
1107,We Got 2 Know,위 갓 투 노우,We Got 2 Know,We Got 2 Know,We Got 2 Know,MAX,맥스,MAX,MAX,MAX,128,128,128,128,128,4294967295,19,1,2,1,102,4294967295,4294967295,
1108,Magic,매직,Magic,Magic,Magic,Secret,시크릿,Secret,Secret,Secret,107,107,107,107,107,4294967295,19,2,2,1,112,4294967295,4294967295,
1109,Hot Issue,핫 이슈,Hot Issue,Hot Issue,Hot Issue,4Minute,포미닛,4Minute,4Minute,4Minute,128,128,128,128,128,4294967295,19,2,2,1,112,4294967295,4294967295,
111,Hatred,증오,Hatred,Hatred,Hatred,Novasonic,노바소닉,Novasonic,Novasonic,Novasonic,136.03,136.03,136.03,136.03,136.03,4294967295,1,2,2,1,97,4294967295,4294967295,
1110,Magic Girl,마법 소녀,Magic Girl,Magic Girl,Magic Girl,Orange Caramel,오렌지 캬라멜,Orange Caramel,Orange Caramel,Orange Caramel,136,136,136,136,136,4294967295,19,2,2,1,117,4294967295,4294967295,
1112,Shock,쇼크,Shock,Shock,Shock,BEAST,비스트,BEAST,BEAST,BEAST,135,135,135,135,135,4294967295,19,2,2,1,114,4294967295,4294967295,
1113,Last Farewell,마지막 인사,Last Farewell,Last Farewell,Last Farewell,BigBang,빅뱅,BigBang,BigBang,BigBang,135,135,135,135,135,4294967295,19,2,2,1,109,4294967295,4294967295,
1114,Superman,슈퍼맨,Superman,Superman,Superman,Norazo,노라조,Norazo,Norazo,Norazo,150,150,150,150,150,4294967295,19,2,2,1,112,4294967295,4294967295,
1115,Energy,에너지,Energy,Energy,Energy,Mighty Mouth,마이티 마우스,Mighty Mouth,Mighty Mouth,Mighty Mouth,155,155,155,155,155,4294967295,19,2,2,1,104,4294967295,4294967295,
1116,Mother,어머니,Mother,Mother,Mother,1TYM,원타임,1TYM,1TYM,1TYM,96,96,96,96,96,4294967295,19,2,2,1,116,4294967295,4294967295,
1117,No.3,넘버3,No.3,No.3,No.3,Bae Chi Gi,배치기,Bae Chi Gi,Bae Chi Gi,Bae Chi Gi,128,128,128,128,128,4294967295,19,2,2,1,115,4294967295,4294967295,
1118,Like A Man,남자답게,Like A Man,Like A Man,Like A Man,Outsider,아웃사이더,Outsider,Outsider,Outsider,180,180,180,180,180,4294967295,19,2,2,1,110,4294967295,4294967295,
1119,Crashday,크래쉬데이,Crashday,Crashday,Crashday,Crash,크래쉬,Crash,Crash,Crash,220,220,220,220,220,4294967295,19,2,2,1,112,4294967295,4294967295,
112,Another Truth,또다른 진심,Another Truth,Another Truth,Another Truth,Novasonic,노바소닉,Novasonic,Novasonic,Novasonic,136,136,136,136,136,4294967295,1,2,2,1,92,4294967295,4294967295,
1120,What Happened,왓 해픈드,What Happened,What Happened,What Happened,Throwdown,Throwdown,Throwdown,Throwdown,Throwdown,130,130,130,130,130,4294967295,19,3,2,1,101,4294967295,4294967295,
1121,Gargoyle,가고일,Gargoyle,Gargoyle,Gargoyle,Sanxion7,Sanxion7,Sanxion7,Sanxion7,Sanxion7,150,150,150,150,150,4294967295,19,3,2,1,115,4294967295,4294967295,
1122,Allegro Con Fuoco,알레그로 콘 뿌오코,Allegro Con Fuoco,Allegro Con Fuoco,Allegro Con Fuoco,DM Ashura,DM Ashura,DM Ashura,DM Ashura,DM Ashura,156,156,156,156,156,4294967295,19,3,2,1,116,4294967295,4294967295,
1123,Hungarian Dance V,헝가리 무곡 V,Hungarian Dance V,Hungarian Dance V,Hungarian Dance V,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,145,145,145,145,145,4294967295,19,1,2,1,103,4294967295,4294967295,
1124,The Devil,마왕,The Devil,The Devil,The Devil,Banya Production,반야 프로덕션,Banya Production,Banya Production,Banya Production,240,240,240,240,240,4294967295,19,1,2,1,103,4294967295,4294967295,
1125,X-Rave,엑스 레이브,X-Rave,X-Rave,X-Rave,DM Ashura,DM Ashura,DM Ashura,DM Ashura,DM Ashura,147,147,147,147,147,4294967295,19,3,2,1,105,4294967295,4294967295,
1126,Native,네이티브,Native,Native,Native,SHK,SHK,SHK,SHK,SHK,135,135,135,135,135,4294967295,19,1,2,1,109,4294967295,4294967295,
1127,Smells Like A Chocolate,스멜스 라이크 어 초콜릿,Smells Like A Chocolate,Smells Like A Chocolate,Smells Like A Chocolate,Vospi,Vospi,Vospi,Vospi,Vospi,175.9,175.9,175.9,175.9,175.9,4294967295,19,3,2,1,108,4294967295,4294967295,
